 399 
 FAWV2    61.86    -7.45
 FAWV3    62.51    -6.78
 FAWV4    61.30    -6.26
 FARO     36.91    -7.90
 FCHAL    32.60   -16.95
 FLRES    39.36   -31.17
 GRCSA    39.09   -27.96
 K13      53.20     3.22
 KCH10    33.03   134.12
 KCH13    32.38   132.86
 LDWR     66.00     2.00
 LEIXS    41.31    -8.98
 LF3F     64.30     7.80
 LF3J     61.20     2.30
 LF3N     65.30     7.30
 LF4B     60.60     3.70
 LF4C     58.40     1.90
 LF4H     59.60     2.20
 LF5T     66.00     8.10
 LF5U     56.50     3.20
 LFB1     73.55    16.50
 LFB2     74.00    30.00
 LFB3     71.58    28.50
 NZBHd   -41.40   174.85
 NZBan   -43.76   173.34
 PRDVA    38.90   -27.00
 PTDGD    37.73   -25.72
 SINES    37.92    -8.93
 STMRA    36.92   -25.17
 TFBLK    65.60   -25.10
 TFDRN    65.77   -21.12
 TFGRS    66.50   -18.20
 TFGRV    63.82   -22.47
 TFGSK    64.10   -22.90
 TFHFN    64.00   -15.20
 TFKGR    65.66   -13.50
 TFSRT    63.17   -20.35
 TFSTD    66.50   -23.40
 ZSWAV   -35.00    22.20
